Tweet;komentar;Sentimen
68;Udahla cukup,  pemerintah simpan aja file2 dokumen2 penting di peti besi kayak zaman dulu2 ,  gk usah pake komputer kayak negara lain;Negatif
69;Sumpah gue ganyesel nonton drakor banyak bngt kasus2 politik yg related bngt beneran kejadian di negara konoha omg asumsi gue gasalah situs pemerintahan buat percobaan anak2 bocah keknya atau bisa jadi suruhan hem entahlah;Negatif
70;Sumpah anak muda kayak gini harusnya di pake pemerintah buat berbenah dan bertukar pikiran sama siber indo , jgan malah di tangkapin di grebek, terus kalo mereka ngeritik malah membantah gak kebobolan data, woyyy segitunya kalian takut ketauan kinerja siber indo kalo situs mereka masih abal abal, ;Negatif
71;"Situs pmerintah itu mmang lemah. 
Smpe d jadiin tmpat latihan utk para hacker pemula. 
Brati si Bjorka ini hacker pemula yg sdang latihan";Negatif
72;"Situs pemerintah kan yg jaga itu""  aja. 
Sekelas negara besar keamanan webnya database nya di injak""  kek rumput. . 
Wkwkw";Negatif
73;"situs pemerintah itu situs yg paling standar tapi dengan Anggaran Pengeluaran yang paling Gedeee. 
padahal UI/ UX' a standar bangetttttt,  bahkan beberapa bener2 gk enak dilihat mata,  terkesan itu situs asal buat aja. ";Negatif
74;Situs pemerintah Buat mainan Doong wkwkwk;Negatif
75;Situs pemerintah buat magang hacker critanya wkwkwk;Negatif
76;situs mainan. . wkwkw;Negatif
77;"Situs indonesia paling rentan
Contoh ojek online aja masih banyak yg make fake gps";Negatif
78;Situs dgn anggaran triliunan kok buat coba². .  emang sampah;Negatif
79;Sistim keamanan negara lemah,  tapi korupsinya kenceeeeeng buanget. . . wkwkwkwk;Negatif
80;Semoga Hacker Indonesia Lebih Peduli Kebenaran Untuk Indonesia bukan Sebaliknya. . . . .  Amien;Positif
81;Sekelas analis siber ketika ditolak,  mainannya terror telfon  segitu doang kemampuannya. ;Negatif
82;SEBENCI apapun kita dengan pemerintah,  BJORKA adalah musuh bersama! Karena,  walau dia mengungkap keburukan pemerintahan kita,  TAPI DIA JUGA JUAL DATA KITA!! Dia sok kayak robinhood pro rakyat,  tapi kita datanya juga dia jualin! Kan paraaahhhh!!;Positif
83;"orang2 dari pemerintah harus lihat ini
dengerin "" situs pemerintah cuma buat percobaan anak2 baru"" ";Negatif
84;Negara 270 juta penduduk yg berusaha menangkal kejahatan cyber crima dari negara lain tapi ada anak bangsa sendiri yg menjajah membocorkan rahasia negara malah disebut pahlawan. . ini bukti sbagian masarakat indonesia otaknya gak ada. ;Negatif
85;"Mukin Indonesa terlalu meremehkan hacker""  di belahan dunia sehinga tidak terlalu kawatir kebobolan situs peting negara kerena di sibukan dengan cuan";Negatif
86;"Miris bngt ya kekuatan pngamanan data pemerintah kita
Cuma buat mainan hacker pemula !!
Whatttt ???!!!!";Negatif
87;Memang benar situs pemerintah itu paling lemah. ;Negatif
88;malu ga tuh situs indonesia dijadiin bhn percobaan naik kelas hacker junior wkwk;Negatif
89;"Lindungi data Masyarakat aja gak bisa. . 
Gimana lagi mau sejahterakan masyarakat?
Bobrok dan miris. . . . ";Negatif
90;Kominfo hebat ya,  situs pemerintah paling kokoh;Negatif
91;"kenapa sangat mudah,  itu karna system nya lemah. . back up data pun
kurang dari segi kekuatan perlindugan. ";Negatif
92;Kebanyakan situs web di Indonesia itu bikinan mahasiswa perorangan untuk skripsi/ tugas akhir terkadang keamanan memang di kesampingkan,  bahkan ada yg tidak mengenkripsi password dan tidak membatasi penggunaan karakter form login;Negatif
93;Keamanan internet Indonesia jelas lemah pake banget lha wong pusat internet kita masih ngontrak . . . . . tanya tim Kominfo, Cyber dan BSSN kalau Indonesia selama ini nasi ngontrak dalam bermain internet. . . .  termasuk data kita mereka yg punya central  bisa hack data kita kapan dia mau;Negatif
94;"Keamanan Hukum :  mudah di jebol
Keamanan Teknologi :  mudah di jebol
Keamana Ekonomi :  udah jebol parah wkwk";Negatif
95;keamanan cyber Indonesia itu paling bobrok sedunia . . ;Negatif
96;keamanan cyber buatan pemerintah di indonesia seperti taman kanak kanak mungkin ya;Negatif
97;Katanya data lama,  katanya bukan data penting,  katanya data yg tidak penting. . .  Tapi ketar ketir!!! Huahahahaha. . .  Naruto ketar ketir nih;Negatif
98;Karena yg mengamankan situs pemerintah itu org bodoh hanya org partai yg bukan di bidangnya. ;Negatif
99;Karena indonesia dr dlu g bisa menghargai orang2 pintar. . .  Indonesia bukan sdm it  jelek. .  . .  yg master , jago2 hacking buanyak,  tp g bkal mau jadi pelindung pemerintah yg xxx. . . mereka akan bekerja dengan hati mereka. .  Introspeksi lah buat pemerintah. . ;Negatif
100;kalo masih pake vpn dr PS atw ios mw berbayar atw gratisan,  hati2 aja deh jgn nyoba terlalu dalam;Negatif
101;Kalau beneran serius buat konten,  bukan hacker yg untuk menyelesaikan masalah carut marut keamanan di Indonesia tp undang seorang system security yg bener2 tau bagaimana cara kerja keamanan sebuah sistem. .  Saya bisa merekomendasikan seorang system security yg udah berpengalaman;Netral
102;"ironi sih ini,  masa tiap taun kementrian dapet anggaran triliunan nggak ada pembenahan buat kemanan cyber. 
untuk kasus bjorka katanya pemerintah  udah ada tim kusus,  masa masih salah tangkep? yakali tim kusus isinya orang dalem juga?";Negatif
103;Indonesia malas berbenah urusan siber,  anggaran tiap tahun tidak tau kemana. ;Negatif
104;Harusnya para hacker ini difasilitasi negara agar membuat infrastruktur keamanan cyber.  Harusnya negara mendanai hacker yg melindungi akses keamanan cyber.  Alias polisi internet mereka ini perlu dihargai. ;Positif
105;Hampir Semua Hacker Hanya Sekumpulan Orang Bodoh Menurut Gua. . Ngehack Keamanan Negara Untunh nya apa? Mending sma- sma menjaga keamanan dta brsma;Positif
106;Gua setuju sama om teguh,  situs pemerintah itu buat mainan para hacker pemula istilahnya kalo game itu yg paling easy lah pemula disuruh bobol situs indonesia dulu baru next ke yg lebih hard lagi;Negatif
107;Gk heran klo situs pemerintah di bobol sih,  soalnya bgian ITnya kpsitasnya terbatas udh gtu org yg udh pro gk bkln mw krja di pemrntah uangya dkit;Negatif
108;"Gimana gak lemah situs pemerintah nya . . 
orang yg buat situs pemerintah nya para BOOMER ,  anak muda muda yg skill nya di atas mereka di acuhkan 
dan sekarang malah menteri nya minta bantuan Hacker local 
BAYAR WOEEE";Negatif
109;Enak sekali ngomong ibarat anak kita sendiri biar kita jaga sebaik mungkin pasti akan sakit dan lalai juga sebagai orang tua akibat anak Bisa mengalami kejadian yang tidak terduga. . . sekuat apapun tapi ketika ada celah langsung menjudge bahwa lemah perawan aja bisa di bobol kok walau sudah tertutup celana;Positif
110;"di sini kita bisa liat 
klo pemerintahan konoha tidak pernah serius mengatasi dan menjaga keamanan negara dan rakyatnya 
sangat memalukan 
apalgi pasukan coklat yg so suhu tapi cupu";Negatif
111;Data pemerintah sdh jadi mainan para hacker, , ini tantangan buat orang pintar di Indonesia;Netral
112;Dari sini kita tahu.  Meskipun anak” baru hacker percobaannya di sistem pemerintah.  Tpi itu bentuk perhatian anak”muda kepada sistem pemerintah.  Nah kami harap pemerintah bisa menjaring/  memfasilitasi anak” muda itu. ;Netral
113;dari jaman dulu yg namanya keamanan pemerintah emang lemah tapi kalau di usik ya ada aja yg ketangkep;Netral
114;Brati cupu banget ya pertahanan security cybernya.  Miris;Negatif
115;negara 270 juta penduduk yg berusaha menangkal kejahatan cyber crima dari negara lain tapi ada anak bangsa sendiri yg menjajah membocorkan rahasia negara malah disebut pahlawan. . ini bukti sbagian masarakat indonesia otaknya gak ada. ;Netral
116;""" Situs pemerintah tempat paling nyaman buat belajar hacking"" 
 100% correct. . ";Negatif
117;Betul setuju perkuat. . . sistem keamananya. . . . . ;Positif
118;betul,  dari pada ngejar BJsalak yg g jelas itu,  buang2 waktu tenaga dan pikiran,  lbh baik perkuat pertahanan keamanan data diindonesia. ;Positif
119;lebih masuk akal sih perkuat keamanan dari pada nyari penjahat didunia maya. . .  ;Positif
120;perkuat data keamanan dahulu bukan nya malah mencari maling dahulu;Negatif
121;Ini bener yg dibilang. .   drpd gedebag gedebug nyari2 bjorka. . . benahi saja keamanan datanya;Positif
122;namanya juga negeri wakanda,  iya mudah lh hacker menembus data;Negatif
123;Perkuat sistem keamanan yang bapuk, , gk usah nyari hantu yg kaga kelihatan;Negatif
124;permasalahan sebenarnya disini bukan membuka identitas para hacker tapi intinya Indonesia belum mampu mengelola keamanan cybernya jadi tolong jangan dipaksakan penggunaan teknologi seperti pedulicuan,  pertaminakami,  dll. ;Negatif
125;Mestinya yang bekerja di bagian kominfo,  syarat wajib mesti paham teknologi.  Bukan diisi orang sembarangan/ titipan.  Rekrut jago2 teknologi.  Indonesia penuh dengan anak2 muda berkualitas yang melek teknologi yang bisa dijadikan tameng negara untuk melindungi rahasia negara. ;Netral
126;Sama halnya ketika banyak developer yg membuat app maupun game walaupun sebagus apapun itu pasti ada aja bugs didalamnya makanya para developer terus mengupdate agar bugsnya bisa diatasi,  sama halnya dengan keamanan data2 perlu untuk terus diperbaharui karena celah2 yg ada bisa dimanfaatkan bagi para hacker untuk meretas. ;Netral
127;"Seharusnya orang seperti ini dikumpulkan dan buat 1 lembaga negara untuk menangkal hacker hacker dunia
Bukan diciduk dan dipenjara
MNfaatkan ILMU MEREKA demi keamanan negara
🇮🇩";Netral
128;"memang masalah kebocoran data di indonesia ini bukan hanya "" bocor""  tapi "" banjir"" ,  sebenarnya non hacker pun bisa membocorkan data. . .  semoga kedepannya lembaga2 pemerintah bisa lebih baik mengatasi keamanan cyber. . . . ";Netral
129;Cyber security dah kayak militer sebuah negara ya.  Dari kasus ini pelajaran berharga untuk Indonesia bahwa pertahanan negara selain tentara militer yg kuat memang yang sangat dibutuhkan,  tapi sangat penting untuk memiliki para tentara pertahanan cyber. ;Positif
130;Andaikan ada orang lokal berhasil membangun security system sendiri sesuai dengan yang ada didalam negeri apakah pemerintah nanti mengapresiasi dan memakai produk tersebut? Biasanya sih sering diabaikan.  Lebih percaya dengan produk luar.  Padahal produk luar itu belum tentu jujur dan bisa saja curang;Negatif
131;Itulah cari orang² yang punya kejeniusan,  skill dan prestasi untuk para cyber security di indonesia yang bisa dikatakan kurang orang,  bukan cari orang yang kerja malas²an,  gaji buta,  skill,  prestasi yang biasa aja,  tapi pinter masuk ke pekerjaan ini pake orang dalam segala. . . miris;Negatif
132;Menurut saya sih pemerintah Jarang mengadakan Pentes untuk Menguji seberapa kuat keamanan System mereka yang sudah buat bahkan tidak pernah. Kalau Pemerintah mau open mengadakan Uji Pentes yg di ikuti semua kalangan. yakin kelemahan System mereka selalu terjaga. sayang acara tidak di lakukan oleh pada akhirnya celah keamanan itu bocor. ;Netral
133;"Kesimpulan:  rakyat Indonesia perlu belajar pemrograman,  dan ditingkatkan dalam berfikir agar dapat membuat password yg rumit serta tdk mudah terbobol data""  nya";Positif
134;Buat anak anak Indonesia, perlu ada sekolah IT  cyber scurity!!!agar kita tidak diremehkan orang luar. ;Positif
135;orang2 jago dan ahli IT itu harusnya  di ajakin collabs untuk pemerintah agar menjaga  data tetap aman ,  ya harus berani bayar juga . keliatan sepele tapi kalo udah data bocor alhasil panik kan .  lebih baik antisipasi daripada udah kejadian bingung apalagi data masyarakat . ;Netral
136;sy seorang IT security yg pernah pasang perangkat security di salah satu instansi pmrintah. .  ketika selesai deployment trus mau diintegrasikan ke network production. .  kata PICnya ga usah. .  yg penting udah terpasang di rack dan nyala lampunya | trus dipoto perangkatnya| . .  ribet klo harus belajar lagi mas. .  selama ini ngga ada masalah koq. .  wkkwkwkwkw. .  gimana mo aman!!;Negatif
137;sudah lebih 3 orang | hecker putih|  semua bilang keamanan system di indonesia sangat lemah dan dibuat sebagai percobaan buat hecker pemula,  jadi perlu meningkatkan keamanan bukan mensyahkan UU yang seperti Komeninfo inginkan;Negatif
138;Dari sini gua bisa tau bahwa situs pemerintah mudah di retas;Negatif
139;Usul nih pak,  sambil menunggu proses ni pak.  Alangkah baiknya amankan data data di institusi pemerintah;Positif
140;Negara kita memang minim banget security cyber jujur. ;Netral
141;Kalau lihat pemerintah Indonesia cuma bisa ketawa. . saat data bocor bukan cari jln orang yg bisa menjaga tapih malah marah sama anak2 yg pintar,  pemerintah sok pintar , sipurta yg pintar malah gak ajak kerja . ;Negatif
142;Hahahaha,  situs pemerintah di negara luas yg kaya akan SDA cuma dijadiin bahan latihan tahap awal sama hacker pemula . . .  Sebagai rakyat biasa saya merasa malu sama pemerintah,  semoga kejadian lawak ini ga nyebar ke negara lain;Negatif
143;""" SITUS PEMERINTAH BANYAK KELEMAHANYA""  dan akhirnya hanya di jadikan permainan oleh hacker,  Penting perlu di garis bawahi nih pak,  IT pemerintah LEMAH,  wkwkwkwk masih kalah sama mereka²";Negatif
144;Mangkan nya pemerintah jangan ribut bjorka nya,  ribut lah memperbaiki sistem siber di negeri ini,  kenapa bisa di bobol. ;Positif
145;generasi milenial seharusnya sudah bergerak mengambil alih sistem pemerintahan yg kolot ini. .  disemua lini. .  pertanyaanya fans konoha mau kaga regenerasi buat gantiaaan woy. .  | tidak ada system yg aman| ;Negatif
146;Maklum sih gampang di jebol,  kepala di bidang keamanan data masyarakat Indonesia gak tau apa- apa soal teknologi. . . .  + Malah di suruh jaga NIK sendiri. . . .  Lah . . . . ;Negatif
147;Wah. . .  Selemah itukah sistim keamanan webs pemerintah. . .   ?;Negatif
148;Waduhh, ,  ternyata situs pmerintah cuman sekelas mainan uji coba pemula, lemah sekali brarti yak;Negatif
149;simple aja sih gak ada sistem yang aman. .  sistem yang aman harga nya mahal dan you know lah. . .  awikwok. . awikwok. . . ;Negatif
150;Marilah kita berfikir Pstif. . jgn trus menyalahkan hacker terus. . . . justru ruang cyber kita bebaskn seluas2ny  siapa saja yg bisa bobol dan rusak system mlah jgn dihukum atau dipidanakan.  Justru mindset kita balik. . . hacker yg bisa bobol kita kasih reward dan kita rekrut ke  badan keamanan cyber.  Ini skdr masukn klo se7 loh| dgn bgtu ruang cyber kita smkin kuat krn dijaga org2 pinter;Netral
151;Segera pemerintah merubah prinsip| | | 1. angkatlah pejabat sesuai dengan keahliannya bukan karena kedekatan atau karena uang| | | 2. Putra putri indonesia yg ahli IT di beri prioritas dalam penerimaan ASN agar menyeimbangkan perkembangan zaman| | | 3. para hacker yg berasal dari indonesia di rangkul dan di bina, kalau perlu di berikan pekerjaan utk membantu membeckup data2 pemerintah bukan di tangkap atau di binasakan;Positif
152;Begitu banyak Hacker di Indonesia, terlepas dari baik buruk nya seorang hacker, menurut saya selalu ada sisi baik yang bisa di ambil. | | Seharus nya pemerintah merangkul mereka bagaimana memajukan tingkat keamanan siber di negara kita. | | Tapi yang terjadi malah sebaliknya, mereka di musuhi dan bahkan di penjara. ;Positif
153;harus lebih rajin lagi untuk bekerja dan mengecek analisa keamanan data. | | ;Positif
